name;characteristics;volume;price;storage_condititon_ID;shell_life_in_days;supplier;item_type_ID
54;*;5;3161;10;817;Witting LLC;2
55;$;8;90893;3;38;Bins Inc;8
56;j;12;77851;2;507;Breitenberg, Krajcik and Harber;5
57;6;11;93367;10;507;Breitenberg, Bergnaum and McKenzie;3
58;f;0;17725;4;75;Kuphal and Sons;7
59;8;25;14607;6;971;Heidenreich Inc;6
60;O;18;15995;1;932;Willms - Tillman;7
61;E;30;18758;6;876;Klein LLC;2
62;l;2;9401;5;39;Howell - O'Reilly;6
63;8;14;731;3;137;Green, Kuhic and Stiedemann;2
64;3;26;49883;3;778;Shields - Windler;1
65;l;27;49756;5;789;Schmeler LLC;10
66;e;19;52998;10;172;McCullough, Rohan and Shanahan;5
67;X;4;84993;2;739;Brakus - Beatty;5
68;t;17;46230;7;354;Pacocha and Sons;7
69;3;30;95509;8;698;McKenzie Group;2
70;j;5;18336;10;254;Feest - Bahringer;2
71;i;24;32631;7;745;Stoltenberg, Leuschke and Lindgren;3
72;W;8;6749;3;636;Schaefer, Hagenes and Little;1
73;V;0;43697;1;762;Ebert - Turcotte;1
74;1;5;64487;5;311;Hauck - Schumm;6
75;#;28;11884;1;397;Hand - Wyman;4
76;W;13;59775;7;319;McKenzie, Price and Stanton;8
77;N;18;52027;3;75;Stiedemann - Effertz;8
78;3;19;73631;2;835;Hane, Schamberger and Haag;2
79;m;20;92362;10;690;Koss - Yost;5
80;D;27;71591;0;640;MacGyver LLC;10
81;W;14;39083;2;361;Ortiz and Sons;6
82;b;19;2144;9;928;Morissette Group;9
83;C;21;81151;0;504;Toy Inc;1
84;o;6;32857;10;306;Ankunding - Baumbach;3
85;%;3;82790;6;924;Aufderhar Group;1
86;O;20;96215;2;249;Herzog, Mills and Lebsack;8
87;s;26;70080;5;213;Schneider - Rolfson;3
88;u;28;38156;10;574;Daugherty and Sons;3
89;n;9;16776;4;877;Doyle Group;2
90;W;29;84292;10;147;Cronin - Kuhic;4
91;k;28;72618;9;872;Hudson and Sons;3
92;o;0;2597;10;168;Erdman Group;9
93;d;25;85038;1;504;Kuvalis LLC;3
94;y;9;69948;9;435;Brown - Runte;6
95;E;20;10303;5;943;Koch Group;7
96;I;0;9202;9;92;Cremin Inc;4
97;S;5;91437;4;597;Sanford Group;4
98;G;1;47391;5;170;Johnson, Jacobson and Bogisich;3
99;*;9;21950;10;959;Bins, Will and Streich;10
100;k;22;92997;3;80;Bauch - Glover;8
101;f;26;77464;2;946;Erdman Group;3
102;g;21;16830;4;559;Crooks LLC;7
103;c;30;41568;7;59;Kihn Inc;6
104;z;8;86993;2;518;Windler and Sons;10
105;C;1;96949;0;448;Schmidt - Hoeger;10
106;0;24;55766;4;85;Ledner - Schimmel;2
107;T;7;50271;7;926;Treutel Inc;0
108;F;13;84239;2;196;Luettgen - Wisoky;8
109;*;23;87101;7;29;Franecki LLC;3
110;W;28;43915;0;537;Emard - Hammes;6
111;@;27;70533;6;689;Hyatt - Welch;0
112;g;14;88572;9;107;Nitzsche, Hane and Kemmer;2
113;i;20;60166;3;932;Thiel LLC;3
114;m;3;34451;2;361;Feeney - Lynch;8
115;Y;15;66292;2;932;Osinski Inc;5
116;F;23;99711;1;215;Runolfsson, Champlin and Paucek;2
117;u;16;55665;0;137;Oberbrunner, Welch and Farrell;5
118;Y;12;5419;4;353;Haag Group;9
119;y;21;90834;10;913;Kassulke LLC;1
120;E;23;46845;3;668;Witting and Sons;3
121;z;8;66432;9;262;Nader Group;4
122;A;24;12321;10;225;Keebler and Sons;6
123;S;23;34983;2;383;Marvin Inc;8
124;t;12;78990;4;631;Altenwerth Group;10
125;G;23;31154;4;408;Ward - Leannon;6
126;s;11;65018;3;907;Wehner, Gibson and Kuvalis;4
127;#;5;86151;2;179;Gusikowski, Kutch and Baumbach;10
128;*;4;2033;1;483;Ziemann - Graham;6
129;Z;24;34078;5;537;Schulist Inc;3
130;g;6;97538;6;180;Botsford - Schuppe;5
131;2;8;75994;7;275;Predovic and Sons;2
132;1;28;40048;5;403;McLaughlin - Little;8
133;2;5;66861;2;650;Runte Inc;8
134;@;28;15760;10;499;Balistreri - Bartoletti;3
135;E;2;60032;7;943;Swaniawski - Casper;4
136;2;18;76414;8;547;Swift LLC;0
137;n;26;60585;7;487;Block, Sipes and Hayes;10
138;*;13;99601;2;108;Volkman - Will;3
139;#;16;97127;7;126;Johnston and Sons;2
140;i;8;71600;3;597;Kassulke - Witting;3
141;t;19;7340;2;37;Jacobi - Mayert;9
142;a;14;35596;4;125;Balistreri and Sons;6
143;Z;30;65771;2;817;Schuster and Sons;1
144;M;18;54269;3;699;Pfeffer - Rippin;9
145;@;30;97975;7;707;Mann Group;0
146;p;27;81178;2;903;Lynch Group;9
147;i;14;36253;4;317;Boyle Inc;0
148;I;20;93785;2;190;Wiza - Volkman;1
149;O;2;53831;6;862;Ondricka Inc;10
150;Y;19;34308;2;396;Zulauf, Bins and Pouros;5
151;J;23;25140;7;220;McDermott - Nienow;8
152;r;23;32488;10;137;Romaguera - Satterfield;8
153;*;5;96354;0;699;Roob and Sons;6
154;Z;13;32710;8;241;Konopelski Inc;5
155;W;1;55704;10;720;O'Kon Inc;6
156;j;12;33892;5;136;Wyman, Stark and Steuber;4
157;g;7;54474;5;334;Hirthe Group;5
158;b;21;30772;6;436;Lubowitz - Bogisich;0
159;D;11;82914;6;729;Hayes, Heller and Kris;4
160;b;12;19329;5;31;Conroy, West and Rolfson;10
161;P;26;6752;0;345;Braun, Feest and White;8
162;p;29;8357;2;91;Herman Group;10
163;*;19;69933;10;900;Robel, Doyle and Wilderman;8
164;M;30;74046;8;307;Ward and Sons;4
165;j;13;31432;9;848;Ryan, Turcotte and Terry;4
166;1;14;30754;10;915;Maggio - Walker;1
167;e;5;35533;9;283;Tremblay - West;3
168;R;0;99791;3;663;Balistreri - Ebert;10
169;X;28;47499;4;44;Wunsch LLC;4
170;Q;2;3495;6;341;Wiza Inc;6
171;e;24;97768;3;692;West and Sons;6
172;!;26;3701;3;768;Berge - Kilback;2
173;x;23;11881;2;980;Blick Group;2
174;j;20;18735;7;373;Klocko - Mraz;3
175;y;8;40937;1;580;Pfannerstill - Hermiston;10
176;^;30;11870;10;647;Zieme - Kunde;3
177;Q;20;15240;9;750;Wisozk - Vandervort;4
178;V;29;35207;10;801;Mohr - Becker;1
179;k;8;35778;10;88;Dietrich, Schuppe and Kilback;5
180;Q;24;31279;4;712;Herman and Sons;0
181;(;23;52687;0;357;Murazik - Price;7
182;k;29;96321;9;396;Pagac Inc;5
183;i;11;18941;4;189;Dicki - Larson;7
184;M;2;98760;8;241;Marks and Sons;7
185;V;15;56227;2;185;O'Keefe LLC;10
186;O;15;40241;10;789;Becker, Padberg and Trantow;2
187;A;1;69037;0;411;Turcotte Inc;1
188;H;9;85235;7;679;Haag, Grimes and Willms;9
189;D;24;158;10;326;McCullough, Spinka and O'Kon;5
190;Z;18;11673;8;936;Christiansen LLC;8
191;M;28;32959;6;492;Collins - Dare;2
192;N;21;20050;9;114;Hahn, Marquardt and Collier;3
193;C;23;68635;9;508;Farrell, Corwin and Kulas;7
194;p;17;68094;1;451;Walsh, Rodriguez and Towne;10
195;(;11;46026;8;28;Kassulke Inc;4
196;q;27;7820;1;788;Miller - Walsh;1
197;(;6;9439;1;742;Kling - King;4
198;Q;24;82818;1;261;Cronin Inc;4
199;q;27;90580;9;931;Johnson - Schaden;10
200;o;13;32010;6;580;Schumm - Bergstrom;9
201;*;14;89783;6;175;Goldner, Hayes and Stokes;9
202;m;4;81742;6;10;Kuvalis Group;9
203;j;1;49533;2;848;Kuhn LLC;9
204;p;5;45591;5;95;Harber and Sons;3
205;7;8;53302;2;640;Swaniawski LLC;4
206;g;10;34243;1;999;Weber, Wiza and Considine;0
207;b;13;98018;0;482;Steuber - Lowe;4
208;Y;16;30791;4;748;Schmidt and Sons;1
209;!;30;83598;10;504;Schiller - Stokes;3
210;n;30;54838;5;873;Dare Inc;6
211;E;10;85685;7;543;Feeney and Sons;0
212;M;2;28727;9;887;Stoltenberg, Gorczany and Fahey;5
213;a;0;2120;4;488;Shanahan - Bins;0
214;1;21;25854;5;524;Kessler and Sons;2
215;o;7;83253;6;206;Pacocha, Champlin and Hauck;0
216;V;11;79596;0;765;Kerluke and Sons;0
217;t;8;71580;1;280;Heller - Gibson;7
218;o;23;44609;0;761;Hudson, Graham and Pfeffer;7
219;E;20;85268;7;536;Russel, Bergstrom and Larson;6
220;1;29;19737;6;117;Howell, Klocko and Sanford;4
221;F;19;58305;2;223;Tromp - Swaniawski;10
222;G;6;35553;5;12;Rosenbaum, Frami and Mayert;4
223;T;18;84140;2;149;Runolfsson, Okuneva and Schmitt;7
224;%;20;72987;1;288;Muller - Zboncak;10
225;h;25;22600;9;838;Barton, Kuphal and Lynch;3
226;a;16;77888;1;348;Barton - Conn;2
227;^;20;12321;4;6;Mann LLC;5
228;v;21;13861;7;785;Kunze - Waters;7
229;e;15;47755;3;465;Bogisich, Orn and Moen;7
230;);30;45008;4;710;Legros - Mayert;7
231;5;25;46525;2;313;Stiedemann - Bayer;4
232;(;4;90200;7;139;Kris - Brown;2
233;w;17;35972;2;437;Runolfsdottir, Batz and Schulist;4
234;z;18;3328;2;980;Kulas - Rutherford;2
235;m;0;5244;10;987;McClure - Frami;1
236;t;20;6700;1;928;Homenick Group;6
237;(;8;38183;7;269;Renner - Funk;1
238;f;30;8567;2;63;Kulas LLC;2
239;M;6;80995;5;227;Schamberger - Johnston;6
240;0;22;84332;2;49;Weber - Kirlin;10
241;P;6;76200;7;706;Graham - Luettgen;8
242;E;20;22955;9;381;Bernier - Hansen;8
243;V;1;55081;4;341;Pacocha, Murphy and Breitenberg;0
244;e;6;31724;10;681;Lakin - Will;4
245;p;14;41455;8;318;Bradtke, Tillman and Crist;8
246;9;30;14087;0;467;Jones, Becker and Abbott;10
247;s;22;91648;4;258;Crist, Wolff and Wintheiser;5
248;i;22;54184;6;524;Bernhard - White;3
249;o;29;60667;3;847;Crooks - Jerde;7
250;r;9;87974;5;627;Runolfsson, Swift and Ruecker;10
251;V;21;77950;9;932;Dickens, DuBuque and Hahn;3
252;b;20;49963;10;351;Balistreri - Kerluke;10
253;^;19;81153;4;192;Hoeger, Kris and Hayes;3
254;H;8;93721;8;867;Dickens, Von and Kertzmann;5
255;z;20;99803;7;330;Goldner - Bartoletti;0
256;%;22;73168;8;318;Schmitt - Abernathy;10
257;3;23;39543;7;763;Volkman, Cremin and Lindgren;7
258;5;16;44570;7;31;Murazik - Jacobson;0
259;0;9;72851;4;344;Cummerata, Cummings and Kohler;2
260;v;3;69127;3;811;Koepp - Carroll;3
261;4;26;75728;6;823;Mosciski and Sons;1
262;A;1;61452;5;313;Kuhlman - Lemke;7
263;x;17;65648;6;332;Collins - Moore;8
264;m;15;190;8;360;Muller - Raynor;4
265;P;7;8718;8;135;Kling Inc;6
266;p;17;28767;4;460;Hills, Conn and Friesen;2
267;L;2;91958;7;448;Blanda - Abernathy;8
268;o;5;68823;7;496;Rath, Beier and Ledner;7
269;U;5;57872;2;914;Hegmann and Sons;7
270;l;6;36205;6;658;Rau, Robel and Larkin;7
271;0;30;93286;5;649;Rutherford, Considine and Casper;0
272;t;14;24154;4;114;Skiles - Dickinson;0
273;4;5;4711;8;526;Witting Group;2
274;l;14;70258;7;513;Murray and Sons;7
275;J;15;68577;2;980;Schaefer - Bogan;7
276;C;22;40272;1;905;Herman and Sons;8
277;G;6;88224;6;482;Willms, Williamson and Koelpin;6
278;t;20;7101;0;717;Rodriguez and Sons;7
279;Z;14;54377;2;907;Jacobs - Brakus;8
280;!;1;78308;7;702;Rolfson - Lakin;8
281;r;16;2798;6;560;Zulauf, Dickinson and Bergnaum;2
282;u;22;83534;1;469;Dietrich and Sons;1
283;%;11;10896;0;781;Glover - Effertz;7
284;4;15;37497;6;277;Koepp - Kutch;6
285;S;3;13179;7;765;Wolff, Bode and Kozey;6
286;w;14;28188;0;46;Pagac LLC;6
287;D;20;36343;0;573;Schoen, Jast and Roberts;8
288;@;0;59964;6;741;Trantow LLC;5
289;T;3;55992;7;500;Borer - Nader;5
290;J;1;55321;6;280;Halvorson LLC;7
291;o;2;99304;1;937;Langworth - Graham;4
292;S;12;39743;8;436;Volkman, Thiel and Carroll;7
293;@;23;48488;3;176;Rogahn Group;3
294;E;1;82476;9;569;Ebert, Conn and Collins;2
295;^;20;48286;10;387;O'Kon, Aufderhar and Ledner;9
296;$;7;24516;8;953;Lang, Sipes and Kris;6
297;h;28;36659;3;159;Littel - Littel;9
298;x;27;87839;7;306;Abernathy - Fadel;10
299;h;20;79527;1;907;Armstrong, Kutch and Heaney;0
300;p;14;25017;5;103;Bernhard and Sons;6
301;q;5;79510;5;852;Rippin - Nolan;10
302;v;1;17432;2;881;Feil and Sons;9
303;G;18;42883;8;346;O'Conner Group;2
304;V;20;54120;7;575;Steuber Group;0
305;G;26;66428;0;588;Koelpin, Christiansen and Buckridge;5
306;K;20;30794;6;480;Ward, Roob and Schulist;1
307;o;29;51944;0;971;Wolff, Kilback and Wisoky;4
308;v;29;91614;4;527;Mayert and Sons;8
309;T;10;34387;6;848;Shields - Rutherford;7
310;@;29;35314;2;972;Jerde - Mueller;1
311;7;26;22966;0;775;Von Inc;8
312;3;15;96695;7;186;Kautzer Group;5
313;k;17;42099;6;600;Hoeger - Corwin;2
314;R;24;28480;6;730;Gusikowski and Sons;9
315;g;30;27628;4;625;Hahn - Kuphal;6
316;J;6;89653;7;495;Pollich - Keebler;2
317;m;15;156;9;967;Schamberger - Lesch;8
318;p;29;9334;3;38;Parisian, Flatley and Cummings;2
319;U;13;86024;1;473;Lang - Rippin;2
320;q;8;96251;2;434;Leuschke - Bosco;6
321;F;28;67444;6;235;Stokes - Herzog;7
322;%;18;81316;8;561;Gerhold and Sons;6
323;&;5;66694;0;340;Koelpin, Stroman and Johnson;6
324;P;9;64246;3;463;Armstrong - Strosin;2
325;S;22;75839;4;402;Hodkiewicz, King and Mueller;4
326;W;16;52667;4;977;Ruecker - Heidenreich;5
327;E;17;26869;4;593;Bradtke, Sporer and Braun;9
328;G;29;16589;7;217;Howe Inc;9
329;S;22;84120;4;744;Ullrich - Osinski;2
330;@;3;33685;10;467;Considine LLC;9
331;d;12;2724;10;472;Upton Group;2
332;G;9;3194;5;585;Kessler, Gutkowski and Ullrich;2
333;);5;44017;6;275;Feeney Inc;5
334;v;22;83427;7;288;Schroeder, Fisher and Block;10
335;&;8;77726;2;494;Bailey Group;6
336;I;12;30346;8;339;Cronin - Hirthe;3
337;8;4;18673;3;442;Swaniawski, Heller and Hahn;3
338;W;4;88177;9;589;Casper - Kutch;2
339;n;1;35915;9;169;Dach Group;0
340;E;1;64744;4;722;Bergstrom Inc;8
341;3;22;52362;4;759;Kilback - Hagenes;3
342;h;1;54207;2;226;Ortiz - White;9
343;M;24;50452;5;37;Treutel Inc;2
344;7;15;72863;4;184;Schamberger, MacGyver and Hackett;4
345;T;20;83307;2;153;Schamberger, Wisoky and Hagenes;8
346;x;2;92472;3;519;Runolfsdottir - Jacobi;10
347;6;16;26261;8;798;Jerde and Sons;4
348;B;25;94989;3;824;Lehner and Sons;8
349;o;20;12278;8;88;Rolfson and Sons;7
350;m;27;44942;8;998;Hane Inc;9
351;u;4;90002;6;821;Herzog - Lubowitz;0
352;u;5;26199;1;275;Swaniawski - Senger;0
353;R;27;96897;7;311;Dietrich - Reilly;9
354;T;1;28730;0;89;Langworth Inc;10
355;o;23;85402;5;149;Larkin and Sons;10
356;F;19;54203;5;745;Williamson - Effertz;7
357;I;22;25345;5;707;Wiegand - O'Hara;8
358;n;4;599;6;867;Reilly, Grant and Effertz;5
359;$;18;78538;2;665;Simonis - Dach;2
360;A;14;76930;6;581;Mraz, Kilback and Cole;0
361;I;27;24036;8;176;Roob - Wyman;8
362;0;22;33540;2;843;Beahan - Anderson;7
363;t;28;18885;2;458;Kunze, Schaden and Marquardt;6
364;F;28;74878;8;529;Dooley, Emmerich and Kuphal;6
365;k;7;25873;4;504;Ondricka - Wehner;8
366;x;15;6683;8;817;Braun, Smitham and Reinger;10
367;f;15;89598;6;446;Weber - Crona;4
368;z;21;79744;6;516;Wolf Inc;9
369;W;13;74341;1;934;Gleason Inc;1
370;z;7;46014;8;117;Kris - Pacocha;10
371;w;18;32067;6;473;Bechtelar Group;9
372;F;30;8513;9;380;Schulist Inc;8
373;i;8;91793;0;516;Lebsack and Sons;7
374;@;8;43549;1;737;Little and Sons;4
375;5;22;55330;4;246;Schumm LLC;1
376;4;5;35392;3;558;Brown - Prohaska;9
377;D;6;75615;9;155;Connelly Group;0
378;f;17;80884;3;787;Hilpert, Okuneva and Predovic;3
379;b;25;69818;2;569;Cole Inc;9
380;x;30;18131;6;847;Keebler LLC;0
381;p;1;50728;10;471;Green, Legros and Nader;6
382;x;15;66378;10;927;Becker - Bradtke;10
383;Y;8;23204;3;793;Hartmann, Green and Effertz;6
384;u;23;1143;1;639;Stanton, Bergnaum and Wilderman;2
385;N;3;49762;3;542;Stracke - Stokes;7
386;H;30;13460;2;364;Fadel, Runolfsson and Wiegand;0
387;i;14;10060;7;310;Nitzsche, Connelly and O'Kon;1
388;L;14;64981;1;826;Gislason - Lockman;7
389;U;11;63453;1;845;Jones - Stokes;2
390;#;30;2626;3;571;Witting - Gutkowski;0
391;X;23;34646;9;617;Heller - Deckow;9
392;^;4;27993;7;804;Osinski, Goyette and Veum;10
393;7;19;73408;1;298;Murazik, O'Kon and Pfeffer;4
394;D;16;70158;8;761;Considine - Hackett;2
395;j;22;47743;5;395;Wuckert - Huels;7
396;4;16;57296;7;628;McClure - D'Amore;2
397;0;6;61395;7;136;Armstrong - Stanton;7
398;N;15;46817;10;694;Considine - Bergnaum;4
399;#;29;47626;2;305;Stehr Group;4
400;d;30;36346;3;737;Swaniawski - Pollich;9
401;e;17;14009;0;938;Price, Kulas and Kemmer;8
402;R;23;12075;8;930;Dickinson - Pfannerstill;0
403;h;4;72488;6;581;Price - Wolf;5
404;&;7;94639;2;57;Spencer - Hayes;1
405;p;11;34174;9;86;Carter - Gerhold;2
406;A;17;80139;0;731;Abshire - Boyer;0
407;H;24;2809;7;603;Rutherford, Beahan and Harvey;7
408;i;11;29820;1;501;Ritchie, Quitzon and Jakubowski;1
409;O;30;40965;1;414;Jerde - Beer;5
410;J;12;55345;3;259;Tromp - Lynch;6
411;4;20;3176;1;834;Dooley, Kunde and Maggio;10
412;1;15;84951;6;140;Cremin - Cormier;3
413;N;27;82120;10;697;Kreiger - Kovacek;5
414;f;29;85685;8;438;Jerde - Rempel;4
415;);19;67697;5;549;Wiegand, Denesik and Walker;8
416;f;6;4364;1;19;Johns Inc;5
417;F;14;78622;5;773;Dach, Kerluke and Murazik;1
418;X;14;55574;8;926;Hammes - Bruen;6
419;s;18;24551;2;425;Graham LLC;0
420;2;24;45621;0;225;Armstrong - Waters;7
421;b;18;93628;1;842;Schneider and Sons;5
422;D;25;86068;2;562;Schinner - Legros;3
423;m;6;27408;10;350;Effertz - Deckow;5
424;y;13;35272;1;13;Konopelski - Luettgen;9
425;0;23;12808;7;906;Olson, Bode and Rowe;3
426;&;19;81906;5;92;Daniel - Brekke;5
427;8;10;27482;1;731;Brekke Group;5
428;R;11;23528;1;72;Jones, Block and Shields;9
429;P;5;86239;2;769;Effertz LLC;3
430;7;6;66498;2;874;Pouros - Walker;1
431;5;12;11700;4;913;Murray and Sons;5
432;2;4;32434;7;368;Bosco and Sons;8
433;I;15;79752;6;874;McDermott, Green and Langworth;5
434;);7;97891;7;554;Auer - Kiehn;6
435;(;28;67350;2;157;Christiansen - MacGyver;5
436;$;11;78684;0;47;Muller - Gleason;7
437;E;16;31120;6;202;Bednar, Schroeder and Zemlak;0
438;J;27;67295;6;582;Hamill, Johnson and Jacobs;2
439;t;18;19452;5;189;Ruecker and Sons;5
440;m;22;95206;4;886;Padberg, Adams and Roob;2
441;3;8;56562;3;838;Senger, Bashirian and Rath;7
442;n;7;72898;0;291;Botsford and Sons;3
443;q;8;19681;3;723;Rath Inc;6
444;Y;28;21958;2;213;Ortiz - Ratke;9
445;v;18;72811;4;848;Dibbert, Tromp and Barton;6
446;T;18;72561;5;272;Quitzon - Kuhic;0
447;1;18;71890;1;284;Ryan, Johns and Stroman;1
448;N;2;93549;4;988;Tromp, Streich and Jaskolski;3
449;%;8;83266;5;503;Runte, Yost and Johnson;1
450;m;18;9872;7;410;Parker, Conn and Stamm;2
451;o;11;21233;3;550;Turcotte and Sons;8
452;K;24;68439;2;632;Hayes and Sons;3
453;#;12;60571;3;930;Sanford - Dare;5
454;n;30;33471;9;970;Schaden, Jones and Jerde;2
455;i;4;20339;5;443;Beier Group;7
456;#;14;17240;2;501;Mueller, Fisher and Hahn;7
457;F;8;65149;9;607;Parker - Reichel;6
458;E;7;41210;8;430;Kihn - Dicki;0
459;4;22;65416;8;290;Ward LLC;3
460;g;6;63060;0;249;Buckridge - Wilderman;10
461;d;28;49065;6;106;Lind, Bartoletti and Gleason;9
462;H;20;37097;1;373;Gulgowski LLC;2
463;L;11;71980;4;311;Hilll, DuBuque and Kling;6
464;y;8;22926;10;428;Pacocha - Kshlerin;0
465;4;22;81960;5;186;Denesik - Brown;5
466;&;25;60311;5;332;Schuppe - Parisian;10
467;@;8;52588;5;566;Kuphal - Kutch;5
468;o;21;67711;6;315;Hammes and Sons;7
469;E;30;96818;6;408;Heidenreich - Hirthe;0
470;L;18;95237;4;350;Wiegand, Bergstrom and Auer;7
471;&;5;67956;10;966;Keeling LLC;7
472;6;9;27110;8;626;Mosciski - Orn;10
473;c;6;91017;3;704;Armstrong, O'Connell and Jast;5
474;z;21;72089;10;297;Walsh Group;2
475;t;6;26467;1;995;Breitenberg, Heaney and Littel;8
476;4;22;6018;6;376;Schaden - Tillman;5
477;o;5;94568;5;728;MacGyver LLC;1
478;E;14;91580;7;521;Hauck Inc;1
479;A;22;80860;3;683;Schiller Group;4
480;x;13;44897;10;819;Feest Inc;9
481;@;11;12504;6;460;Keebler, Kling and Von;8
482;x;2;47574;6;620;Veum - Fay;8
483;w;12;40041;2;680;Schamberger, Walter and Russel;3
484;@;5;25513;1;468;Batz, Heller and Hane;3
485;);29;82891;10;79;Nicolas - Weber;2
486;N;0;98890;0;446;Batz, Emmerich and Waelchi;3
487;Z;5;32750;10;328;Homenick Inc;0
488;3;26;69123;5;600;Hammes Group;5
489;*;25;14052;10;400;Gleason and Sons;10
490;D;21;94098;0;573;Heidenreich, Morissette and Abbott;9
491;%;15;42343;4;403;Boyer - Herzog;5
492;Y;24;33690;2;164;Von LLC;1
493;S;14;34201;10;23;Hettinger Inc;8
494;R;10;53448;8;509;Bauch and Sons;3
495;p;27;17616;5;359;Ward Group;6
496;3;12;60795;8;853;Howell - Bergstrom;3
497;f;17;95635;5;715;Quigley Inc;6
498;D;3;92132;8;490;Grady Inc;3
499;3;22;42382;10;171;Hand - Leffler;7
500;!;0;28387;7;358;Herman, Zemlak and Feest;3
501;B;10;55006;3;300;VonRueden and Sons;10
502;Q;21;41750;5;355;Stroman LLC;6
503;s;25;75836;5;193;Kertzmann LLC;6
504;b;20;14081;8;527;Johns, Bahringer and Yundt;1
505;J;11;72123;4;791;Baumbach, Parisian and Pfeffer;4
506;@;15;8260;2;712;Lemke and Sons;7
507;4;6;64568;8;153;Blick, Jaskolski and Daniel;3
508;B;29;74806;0;343;Cruickshank - Hagenes;2
509;B;6;12986;6;354;Botsford and Sons;5
510;D;5;32587;6;73;Johnston - Murphy;1
511;S;10;81054;3;751;Mitchell LLC;5
512;v;12;79550;8;594;Miller - Kihn;5
513;I;20;27343;7;814;Gleason - Beer;10
514;Y;6;48890;7;440;Gutmann Inc;9
515;y;30;80066;6;786;Lynch LLC;4
516;@;9;77568;6;567;Rice Inc;10
517;b;17;45456;4;351;Mertz and Sons;7
518;Z;26;8406;5;898;Stracke - Jerde;10
519;O;2;24352;7;732;Bechtelar, Jacobi and Block;7
520;U;21;3202;1;968;Hand - Stamm;0
521;T;8;90468;8;449;McLaughlin, Farrell and Lindgren;2
522;F;26;40778;10;375;Maggio, Stiedemann and Jerde;4
523;P;17;11748;4;754;Jenkins, Runolfsson and Dietrich;3
524;q;8;26227;7;7;Mann and Sons;10
525;@;8;67747;0;38;Hand - Kuhlman;4
526;J;5;87324;1;482;Kuhlman - Davis;0
527;T;16;97342;3;628;Jakubowski - Paucek;5
528;E;9;35340;3;211;Howe LLC;1
529;L;4;51848;9;261;Haley, VonRueden and Kuphal;2
530;a;23;64868;0;417;Emard, Kris and Bailey;10
531;P;26;45565;5;911;Williamson - Reichert;2
532;N;9;70675;10;446;Mohr - Denesik;7
533;j;24;13794;8;45;Zulauf - Gleichner;3
534;4;26;77468;2;135;Lubowitz, Waelchi and Boyer;5
535;X;24;42076;1;15;Kreiger - Rempel;5
