"item_id";"warehouse_place_id";"quantity_of_item";"days_until_end_storage"
"514";"514";"615";"325"
"515";"515";"632";"16"
"516";"516";"150";"47"
"517";"517";"98";"416"
"518";"518";"701";"968"
"519";"519";"270";"855"
"520";"520";"691";"816"
"521";"521";"421";"597"
"522";"522";"569";"508"
"523";"523";"291";"777"
"524";"524";"676";"728"
"525";"525";"34";"423"
"526";"526";"314";"817"
"527";"527";"833";"991"
"528";"528";"965";"960"
"529";"529";"62";"272"
"530";"530";"709";"150"
"531";"531";"606";"356"
"532";"532";"549";"153"
"533";"533";"767";"413"
"534";"534";"45";"994"
"535";"535";"184";"286"
"536";"536";"882";"37"
"537";"537";"957";"720"
"538";"538";"422";"590"
"539";"539";"856";"623"
"540";"540";"626";"273"
"541";"541";"501";"718"
"542";"542";"69";"941"
"543";"543";"979";"349"
"544";"544";"163";"607"
"545";"545";"761";"837"
"546";"546";"568";"272"
"547";"547";"546";"410"
"548";"548";"721";"667"
"549";"549";"426";"147"
"550";"550";"999";"105"
"551";"551";"912";"850"
"552";"552";"700";"306"
"553";"553";"399";"921"
"554";"554";"251";"68"
"555";"555";"153";"6"
"556";"556";"141";"59"
"557";"557";"89";"200"
"558";"558";"490";"77"
"559";"559";"98";"542"
"560";"560";"990";"922"
"561";"561";"271";"404"
"562";"562";"859";"241"
"563";"563";"333";"118"
"564";"564";"800";"330"
"565";"565";"79";"307"
"566";"566";"163";"992"
"567";"567";"410";"981"
"568";"568";"666";"686"
"569";"569";"95";"595"
"570";"570";"8";"386"
"571";"571";"158";"424"
"572";"572";"977";"458"
"573";"573";"584";"179"
"574";"574";"261";"108"
"575";"575";"999";"300"
"576";"576";"603";"490"
"577";"577";"283";"401"
"578";"578";"708";"697"
"579";"579";"402";"965"
"580";"580";"859";"384"
"581";"581";"501";"307"
"582";"582";"935";"220"
"583";"583";"821";"938"
"584";"584";"191";"307"
"585";"585";"307";"47"
"586";"586";"894";"334"
"587";"587";"880";"731"
"588";"588";"918";"753"
"589";"589";"458";"269"
"590";"590";"246";"619"
"591";"591";"812";"980"
"592";"592";"893";"197"
"593";"593";"57";"195"
"594";"594";"845";"661"
"595";"595";"81";"80"
"596";"596";"331";"191"
"597";"597";"318";"905"
"598";"598";"784";"146"
"599";"599";"510";"695"
"600";"600";"466";"606"
"601";"601";"471";"201"
"602";"602";"135";"756"
"603";"603";"765";"994"
"604";"604";"163";"970"
"605";"605";"394";"432"
"606";"606";"708";"465"
"607";"607";"167";"751"
"608";"608";"532";"867"
"609";"609";"303";"778"
"610";"610";"295";"473"
"611";"611";"587";"105"
"612";"612";"483";"720"
"613";"613";"582";"63"
"614";"614";"878";"861"
"615";"615";"60";"287"
"616";"616";"798";"940"
"617";"617";"717";"875"
"618";"618";"369";"303"
"619";"619";"870";"905"
"620";"620";"271";"780"
"621";"621";"635";"34"
"622";"622";"283";"956"
"623";"623";"212";"687"
"624";"624";"642";"226"
"625";"625";"150";"642"
"626";"626";"31";"366"
"627";"627";"977";"60"
"628";"628";"972";"329"
"629";"629";"580";"778"
"630";"630";"691";"455"
"631";"631";"627";"183"
"632";"632";"206";"504"
"633";"633";"854";"748"
"634";"634";"301";"758"
"635";"635";"924";"499"
"636";"636";"810";"771"
"637";"637";"250";"92"
"638";"638";"721";"38"
"639";"639";"506";"486"
"640";"640";"662";"250"
"641";"641";"985";"119"
"642";"642";"372";"506"
"643";"643";"583";"317"
"644";"644";"937";"12"
"645";"645";"745";"911"
"646";"646";"58";"962"
"647";"647";"377";"454"
"648";"648";"824";"600"
"649";"649";"641";"199"
"650";"650";"441";"512"
"651";"651";"840";"537"
"652";"652";"16";"542"
"653";"653";"140";"624"
"654";"654";"348";"637"
"655";"655";"804";"489"
"656";"656";"390";"631"
"657";"657";"517";"827"
"658";"658";"392";"125"
"659";"659";"665";"586"
"660";"660";"846";"84"
"661";"661";"694";"78"
"662";"662";"678";"635"
"663";"663";"351";"139"
"664";"664";"899";"688"
"665";"665";"207";"352"
"666";"666";"997";"622"
"667";"667";"11";"207"
"668";"668";"70";"872"
"669";"669";"355";"347"
"670";"670";"607";"435"
"671";"671";"225";"184"
"672";"672";"477";"879"
"673";"673";"348";"472"
"674";"674";"989";"21"
"675";"675";"944";"647"
"676";"676";"698";"744"
"677";"677";"725";"867"
"678";"678";"975";"731"
"679";"679";"718";"188"
"680";"680";"100";"290"
"681";"681";"581";"423"
"682";"682";"118";"213"
"683";"683";"814";"362"
"684";"684";"855";"339"
"685";"685";"965";"829"
"686";"686";"841";"570"
"687";"687";"984";"873"
"688";"688";"464";"722"
"689";"689";"552";"840"
"690";"690";"74";"521"
"691";"691";"23";"901"
"692";"692";"205";"845"
"693";"693";"401";"389"
"694";"694";"195";"743"
"695";"695";"394";"834"
"696";"696";"714";"462"
"697";"697";"923";"545"
"698";"698";"89";"282"
"699";"699";"928";"374"
"700";"700";"738";"437"
"701";"701";"693";"591"
"702";"702";"870";"484"
"703";"703";"665";"305"
"704";"704";"740";"565"
"705";"705";"44";"675"
"706";"706";"905";"89"
"707";"707";"530";"978"
"708";"708";"1";"867"
"709";"709";"96";"679"
"710";"710";"431";"764"
"711";"711";"909";"574"
"712";"712";"803";"854"
"713";"713";"343";"935"
"714";"714";"84";"567"
"715";"715";"901";"511"
"716";"716";"52";"925"
"717";"717";"604";"958"
"718";"718";"132";"640"
"719";"719";"854";"231"
"720";"720";"569";"747"
"721";"721";"7";"694"
"722";"722";"818";"434"
"723";"723";"166";"914"
"724";"724";"804";"495"
"725";"725";"439";"758"
"726";"726";"317";"397"
"727";"727";"771";"745"
"728";"728";"81";"184"
"729";"729";"329";"611"
"730";"730";"827";"832"
"731";"731";"530";"71"
"732";"732";"281";"917"
"733";"733";"167";"582"
"734";"734";"544";"631"
"735";"735";"339";"955"
"736";"736";"34";"542"
"737";"737";"125";"579"
"738";"738";"3";"159"
"739";"739";"632";"688"
"740";"740";"45";"521"
"741";"741";"175";"641"
"742";"742";"296";"408"
"743";"743";"356";"145"
"744";"744";"866";"799"
"745";"745";"38";"541"
"746";"746";"17";"367"
"747";"747";"388";"702"
"748";"748";"117";"345"
"749";"749";"321";"785"
"750";"750";"625";"275"
"751";"751";"609";"572"
"752";"752";"199";"798"
"753";"753";"994";"950"
"754";"754";"947";"780"
"755";"755";"833";"517"
"756";"756";"387";"479"
"757";"757";"400";"203"
"758";"758";"483";"592"
"759";"759";"873";"648"
"760";"760";"406";"309"
"761";"761";"273";"135"
"762";"762";"252";"345"
"763";"763";"185";"761"
"764";"764";"461";"951"
"765";"765";"317";"739"
"766";"766";"668";"390"
"767";"767";"512";"546"
"768";"768";"533";"596"
"769";"769";"606";"108"
"770";"770";"742";"190"
"771";"771";"423";"503"
"772";"772";"739";"490"
"773";"773";"298";"856"
"774";"774";"691";"466"
"775";"775";"746";"713"
"776";"776";"530";"520"
"777";"777";"375";"819"
"778";"778";"381";"101"
"779";"779";"627";"18"
"780";"780";"961";"949"
"781";"781";"793";"848"
"782";"782";"435";"282"
"783";"783";"426";"791"
"784";"784";"838";"665"
"785";"785";"233";"466"
"786";"786";"256";"887"
"787";"787";"363";"976"
"788";"788";"811";"617"
"789";"789";"73";"229"
"790";"790";"458";"685"
"791";"791";"283";"49"
"792";"792";"97";"672"
"793";"793";"636";"501"
"794";"794";"616";"753"
"795";"795";"943";"213"
"796";"796";"864";"370"
"797";"797";"231";"818"
"798";"798";"713";"263"
"799";"799";"796";"479"
"800";"800";"855";"484"
"801";"801";"125";"193"
"802";"802";"993";"59"
"803";"803";"274";"938"
"804";"804";"443";"346"
"805";"805";"572";"887"
"806";"806";"313";"300"
"807";"807";"734";"16"
"808";"808";"365";"539"
"809";"809";"967";"296"
"810";"810";"697";"654"
"811";"811";"77";"780"
"812";"812";"383";"8"
"813";"813";"669";"352"
"814";"814";"0";"151"
"815";"815";"432";"631"
"816";"816";"946";"732"
"817";"817";"24";"618"
"818";"818";"469";"880"
"819";"819";"165";"761"
"820";"820";"566";"662"
"821";"821";"546";"654"
"822";"822";"409";"484"
"823";"823";"867";"277"
"824";"824";"231";"491"
"825";"825";"578";"713"
"826";"826";"237";"850"
"827";"827";"546";"157"
"828";"828";"381";"626"
"829";"829";"396";"984"
"830";"830";"622";"964"
"831";"831";"175";"289"
"832";"832";"656";"437"
"833";"833";"791";"225"
"834";"834";"265";"224"
"835";"835";"220";"339"
"836";"836";"113";"701"
"837";"837";"452";"581"
"838";"838";"370";"830"
"839";"839";"939";"961"
"840";"840";"930";"280"
"841";"841";"62";"178"
"842";"842";"837";"705"
"843";"843";"530";"685"
"844";"844";"669";"872"
"845";"845";"512";"90"
"846";"846";"871";"276"
"847";"847";"75";"504"
"848";"848";"107";"487"
"849";"849";"308";"110"
"850";"850";"19";"441"
"851";"851";"730";"516"
"852";"852";"561";"250"
"853";"853";"433";"505"
"854";"854";"632";"315"
"855";"855";"184";"964"
"856";"856";"165";"117"
"857";"857";"328";"195"
"858";"858";"226";"34"
"859";"859";"635";"192"
"860";"860";"512";"465"
"861";"861";"884";"276"
"862";"862";"537";"192"
"863";"863";"381";"886"
"864";"864";"963";"901"
"865";"865";"724";"639"
"866";"866";"82";"977"
"867";"867";"865";"364"
"868";"868";"376";"574"
"869";"869";"381";"853"
"870";"870";"886";"173"
"871";"871";"435";"178"
"872";"872";"835";"284"
"873";"873";"504";"406"
"874";"874";"141";"253"
"875";"875";"452";"900"
"876";"876";"184";"471"
"877";"877";"690";"598"
"878";"878";"583";"56"
"879";"879";"845";"54"
"880";"880";"397";"267"
"881";"881";"964";"123"
"882";"882";"261";"701"
"883";"883";"440";"242"
"884";"884";"19";"852"
"885";"885";"584";"35"
"886";"886";"886";"865"
"887";"887";"462";"891"
"888";"888";"505";"404"
"889";"889";"373";"152"
"890";"890";"549";"137"
"891";"891";"410";"229"
"892";"892";"170";"90"
"893";"893";"150";"65"
"894";"894";"555";"418"
"895";"895";"12";"631"
"896";"896";"783";"373"
"897";"897";"576";"710"
"898";"898";"563";"996"
"899";"899";"585";"182"
"900";"900";"716";"193"
"901";"901";"950";"646"
"902";"902";"588";"51"
"903";"903";"729";"636"
"904";"904";"916";"573"
"905";"905";"73";"391"
"906";"906";"180";"325"
"907";"907";"257";"806"
"908";"908";"75";"415"
"909";"909";"840";"310"
"910";"910";"970";"935"
"911";"911";"529";"130"
"912";"912";"709";"153"
"913";"913";"824";"37"
"914";"914";"272";"33"
"915";"915";"980";"985"
"916";"916";"570";"120"
"917";"917";"204";"468"
"918";"918";"108";"408"
"919";"919";"774";"641"
"920";"920";"740";"887"
"921";"921";"796";"809"
"922";"922";"274";"577"
"923";"923";"179";"690"
"924";"924";"358";"548"
"925";"925";"696";"553"
"926";"926";"425";"65"
"927";"927";"654";"106"
"928";"928";"629";"271"
"929";"929";"29";"679"
"930";"930";"24";"740"
"931";"931";"84";"908"
"932";"932";"468";"39"
"933";"933";"463";"723"
"934";"934";"786";"491"
"935";"935";"583";"729"
"936";"936";"106";"570"
"937";"937";"58";"315"
"938";"938";"833";"794"
"939";"939";"578";"720"
"940";"940";"986";"834"
"941";"941";"267";"639"
"942";"942";"598";"53"
"943";"943";"459";"72"
"944";"944";"118";"286"
"945";"945";"921";"809"
"946";"946";"370";"373"
"947";"947";"806";"553"
"948";"948";"705";"753"
"949";"949";"169";"100"
"950";"950";"347";"943"
"951";"951";"382";"197"
"952";"952";"378";"311"
"953";"953";"65";"982"
"954";"954";"502";"143"
"955";"955";"731";"23"
"956";"956";"598";"407"
"957";"957";"394";"597"
"958";"958";"256";"381"
"959";"959";"728";"862"
"960";"960";"15";"489"
"961";"961";"349";"395"
"962";"962";"514";"892"
"963";"963";"83";"14"
"964";"964";"710";"263"
"965";"965";"247";"933"
"966";"966";"890";"31"
"967";"967";"262";"654"
"968";"968";"784";"918"
"969";"969";"610";"975"
"970";"970";"246";"76"
"971";"971";"193";"905"
"972";"972";"325";"15"
"973";"973";"675";"716"
"974";"974";"814";"207"
"975";"975";"726";"110"
"976";"976";"185";"466"
"977";"977";"950";"849"
"978";"978";"117";"999"
"979";"979";"641";"63"
"980";"980";"596";"876"
"981";"981";"368";"993"
"982";"982";"647";"824"
"983";"983";"440";"919"
"984";"984";"102";"846"
"985";"985";"441";"8"
"986";"986";"536";"664"
"987";"987";"453";"760"
"988";"988";"603";"265"
"989";"989";"572";"614"
"990";"990";"688";"606"
"991";"991";"25";"858"
"992";"992";"817";"742"
"993";"993";"435";"869"
"994";"994";"679";"398"
"995";"995";"756";"98"
"996";"996";"325";"766"
"997";"997";"400";"172"
"998";"998";"973";"685"
"999";"999";"830";"542"
"1000";"1000";"645";"673"
"1001";"1001";"864";"675"
"1002";"1002";"932";"697"
"1003";"1003";"746";"891"
"1004";"1004";"804";"801"
"1005";"1005";"498";"857"
"1006";"1006";"957";"696"
"1007";"1007";"971";"199"
"1008";"1008";"491";"282"
"1009";"1009";"934";"586"
"1010";"1010";"85";"769"
"1011";"1011";"718";"713"
"1012";"1012";"134";"254"
"1013";"1013";"74";"182"
"1014";"1014";"731";"333"
"1015";"1015";"801";"885"
"1016";"1016";"120";"291"
"1017";"1017";"566";"538"
"1018";"1018";"220";"959"
"1019";"1019";"689";"680"
"1020";"1020";"310";"94"
"1021";"1021";"939";"374"
"1022";"1022";"479";"560"
"1023";"1023";"616";"217"
"1024";"1024";"620";"131"
"1025";"1025";"979";"661"
"1026";"1026";"593";"891"
"1027";"1027";"912";"615"
"1028";"1028";"139";"770"
"1029";"1029";"335";"341"
"1030";"1030";"91";"188"
"1031";"1031";"555";"203"
"1032";"1032";"302";"897"
"1033";"1033";"239";"440"
"1034";"1034";"883";"714"
"1035";"1035";"482";"96"
"1036";"1036";"819";"40"
"1037";"1037";"169";"561"
"1038";"1038";"206";"470"
"1039";"1039";"986";"993"
"1040";"1040";"857";"836"
"1041";"1041";"50";"842"
"1042";"1042";"623";"978"
"1043";"1043";"829";"976"
"1044";"1044";"445";"328"
"1045";"1045";"266";"172"
"1046";"1046";"292";"756"
"1047";"1047";"606";"740"
"1048";"1048";"875";"851"
"1049";"1049";"43";"410"
"1050";"1050";"641";"18"
"1051";"1051";"121";"510"
"1052";"1052";"668";"358"
"1053";"1053";"519";"415"
"1054";"1054";"968";"790"
"1055";"1055";"319";"249"
"1056";"1056";"93";"789"
"1057";"1057";"723";"156"
"1058";"1058";"526";"525"
"1059";"1059";"462";"696"
"1060";"1060";"237";"339"
"1061";"1061";"288";"195"
