"storage_item_ID";"employee_id";"date";"element_quantity";"total";"type_ID"
"88";"88";"2024_06_04";"758";"74192";"2"
"89";"89";"2024_06_04";"101";"43094";"0"
"90";"90";"2024_06_04";"607";"60753";"2"
"91";"91";"2024_06_04";"60";"5278";"0"
"92";"92";"2024_06_04";"993";"35371";"1"
"93";"93";"2024_06_04";"248";"40663";"2"
"94";"94";"2024_06_04";"903";"80730";"2"
"95";"95";"2024_06_04";"148";"89503";"1"
"96";"96";"2024_06_04";"880";"45505";"1"
"97";"97";"2024_06_04";"617";"22551";"2"
"98";"98";"2024_06_04";"642";"89681";"1"
"99";"99";"2024_06_04";"561";"5916";"0"
"100";"100";"2024_06_04";"218";"27676";"1"
"101";"101";"2024_06_04";"414";"29535";"0"
"102";"102";"2024_06_04";"320";"57832";"2"
"103";"103";"2024_06_04";"421";"70149";"2"
"104";"104";"2024_06_04";"953";"20984";"2"
"105";"105";"2024_06_04";"496";"80537";"1"
"106";"106";"2024_06_04";"459";"94180";"1"
"107";"107";"2024_06_04";"498";"58450";"2"
"108";"108";"2024_06_04";"344";"34257";"1"
"109";"109";"2024_06_04";"387";"84752";"0"
"110";"110";"2024_06_04";"297";"85851";"0"
"111";"111";"2024_06_04";"141";"72730";"0"
"112";"112";"2024_06_04";"761";"56609";"2"
"113";"113";"2024_06_04";"242";"55791";"2"
"114";"114";"2024_06_04";"499";"95367";"2"
"115";"115";"2024_06_04";"820";"22355";"2"
"116";"116";"2024_06_04";"559";"72472";"2"
"117";"117";"2024_06_04";"285";"84994";"2"
"118";"118";"2024_06_04";"25";"65962";"2"
"119";"119";"2024_06_04";"629";"2974";"2"
"120";"120";"2024_06_04";"383";"39765";"0"
"121";"121";"2024_06_04";"776";"35724";"1"
"122";"122";"2024_06_04";"722";"50923";"1"
"123";"123";"2024_06_04";"822";"33004";"1"
"124";"124";"2024_06_04";"381";"89102";"2"
"125";"125";"2024_06_04";"24";"51578";"2"
"126";"126";"2024_06_04";"636";"52438";"1"
"127";"127";"2024_06_04";"241";"31894";"2"
"128";"128";"2024_06_04";"327";"19033";"1"
"129";"129";"2024_06_04";"961";"82718";"2"
"130";"130";"2024_06_04";"88";"65034";"2"
"131";"131";"2024_06_04";"251";"92443";"2"
"132";"132";"2024_06_04";"743";"10090";"0"
"133";"133";"2024_06_04";"232";"82587";"2"
"134";"134";"2024_06_04";"977";"39928";"1"
"135";"135";"2024_06_04";"62";"3671";"2"
"136";"136";"2024_06_04";"108";"77431";"2"
"137";"137";"2024_06_04";"711";"23529";"2"
"138";"138";"2024_06_04";"52";"55753";"2"
"139";"139";"2024_06_04";"553";"80482";"0"
"140";"140";"2024_06_04";"597";"43537";"1"
"141";"141";"2024_06_04";"845";"69056";"1"
"142";"142";"2024_06_04";"558";"97309";"0"
"143";"143";"2024_06_04";"43";"836";"1"
"144";"144";"2024_06_04";"174";"63547";"0"
"145";"145";"2024_06_04";"216";"79853";"0"
"146";"146";"2024_06_04";"268";"59277";"0"
"147";"147";"2024_06_04";"473";"69307";"2"
"148";"148";"2024_06_04";"138";"26358";"1"
"149";"149";"2024_06_04";"996";"52246";"1"
"150";"150";"2024_06_04";"440";"25305";"0"
"151";"151";"2024_06_04";"69";"66907";"0"
"152";"152";"2024_06_04";"881";"75635";"1"
"153";"153";"2024_06_04";"50";"73640";"2"
"154";"154";"2024_06_04";"512";"48031";"1"
"155";"155";"2024_06_04";"415";"45055";"0"
"156";"156";"2024_06_04";"328";"79329";"1"
"157";"157";"2024_06_04";"928";"73860";"0"
"158";"158";"2024_06_04";"108";"64980";"1"
"159";"159";"2024_06_04";"77";"49324";"0"
"160";"160";"2024_06_04";"75";"48317";"2"
"161";"161";"2024_06_04";"976";"87628";"0"
"162";"162";"2024_06_04";"967";"41377";"2"
"163";"163";"2024_06_04";"559";"2145";"2"
"164";"164";"2024_06_04";"770";"94503";"0"
"165";"165";"2024_06_04";"834";"30487";"1"
"166";"166";"2024_06_04";"75";"85416";"0"
"167";"167";"2024_06_04";"87";"3015";"2"
"168";"168";"2024_06_04";"450";"15581";"1"
"169";"169";"2024_06_04";"441";"78865";"1"
"170";"170";"2024_06_04";"799";"3976";"2"
"171";"171";"2024_06_04";"408";"28302";"2"
"172";"172";"2024_06_04";"606";"18818";"2"
"173";"173";"2024_06_04";"741";"49879";"0"
"174";"174";"2024_06_04";"436";"87133";"1"
"175";"175";"2024_06_04";"597";"68256";"2"
"176";"176";"2024_06_04";"34";"4134";"0"
"177";"177";"2024_06_04";"551";"63120";"2"
"178";"178";"2024_06_04";"977";"2997";"0"
"179";"179";"2024_06_04";"454";"30869";"0"
"180";"180";"2024_06_04";"525";"1820";"1"
"181";"181";"2024_06_04";"96";"97566";"2"
"182";"182";"2024_06_04";"768";"23910";"2"
"183";"183";"2024_06_04";"686";"54434";"1"
"184";"184";"2024_06_04";"225";"45564";"2"
"185";"185";"2024_06_04";"261";"71000";"2"
"186";"186";"2024_06_04";"496";"9042";"2"
"187";"187";"2024_06_04";"611";"33313";"1"
"188";"188";"2024_06_04";"269";"13935";"2"
"189";"189";"2024_06_04";"665";"55580";"0"
"190";"190";"2024_06_04";"679";"23641";"1"
"191";"191";"2024_06_04";"710";"85708";"2"
"192";"192";"2024_06_04";"618";"81829";"1"
"193";"193";"2024_06_04";"264";"84716";"0"
"194";"194";"2024_06_04";"252";"42752";"0"
"195";"195";"2024_06_04";"941";"63148";"0"
"196";"196";"2024_06_04";"608";"93630";"0"
"197";"197";"2024_06_04";"567";"47373";"2"
"198";"198";"2024_06_04";"824";"21313";"2"
"199";"199";"2024_06_04";"751";"61857";"2"
"200";"200";"2024_06_04";"340";"75052";"2"
"201";"201";"2024_06_04";"581";"56018";"0"
"202";"202";"2024_06_04";"905";"70981";"2"
"203";"203";"2024_06_04";"322";"7110";"2"
"204";"204";"2024_06_04";"335";"13388";"1"
"205";"205";"2024_06_04";"498";"55942";"1"
"206";"206";"2024_06_04";"739";"37379";"0"
"207";"207";"2024_06_04";"816";"41534";"1"
"208";"208";"2024_06_04";"568";"41599";"1"
"209";"209";"2024_06_04";"212";"35782";"0"
"210";"210";"2024_06_04";"705";"93883";"1"
"211";"211";"2024_06_04";"839";"8840";"0"
"212";"212";"2024_06_04";"824";"93363";"0"
"213";"213";"2024_06_04";"849";"64603";"1"
"214";"214";"2024_06_04";"662";"2278";"0"
"215";"215";"2024_06_04";"642";"93891";"2"
"216";"216";"2024_06_04";"337";"51082";"0"
"217";"217";"2024_06_04";"66";"63953";"1"
"218";"218";"2024_06_04";"785";"90688";"1"
"219";"219";"2024_06_04";"891";"36850";"1"
"220";"220";"2024_06_04";"675";"42109";"1"
"221";"221";"2024_06_04";"861";"53881";"0"
"222";"222";"2024_06_04";"920";"4782";"2"
"223";"223";"2024_06_04";"257";"78312";"2"
"224";"224";"2024_06_04";"296";"51501";"2"
"225";"225";"2024_06_04";"653";"89567";"2"
"226";"226";"2024_06_04";"454";"17079";"1"
"227";"227";"2024_06_04";"752";"16982";"2"
"228";"228";"2024_06_04";"691";"26125";"0"
"229";"229";"2024_06_04";"139";"83491";"0"
"230";"230";"2024_06_04";"448";"68844";"1"
"231";"231";"2024_06_04";"825";"60830";"0"
"232";"232";"2024_06_04";"466";"17967";"1"
"233";"233";"2024_06_04";"198";"5754";"0"
"234";"234";"2024_06_04";"909";"73028";"1"
"235";"235";"2024_06_04";"775";"78247";"2"
"236";"236";"2024_06_04";"736";"69935";"2"
"237";"237";"2024_06_04";"856";"55986";"2"
"238";"238";"2024_06_04";"787";"67343";"0"
"239";"239";"2024_06_04";"938";"27502";"2"
"240";"240";"2024_06_04";"608";"72647";"2"
"241";"241";"2024_06_04";"12";"97028";"1"
"242";"242";"2024_06_04";"992";"92430";"2"
"243";"243";"2024_06_04";"240";"58188";"2"
"244";"244";"2024_06_04";"785";"68922";"1"
"245";"245";"2024_06_04";"671";"82696";"2"
"246";"246";"2024_06_04";"67";"84895";"1"
"247";"247";"2024_06_04";"391";"2289";"0"
"248";"248";"2024_06_04";"883";"27792";"1"
"249";"249";"2024_06_04";"579";"19031";"2"
"250";"250";"2024_06_04";"673";"26509";"1"
"251";"251";"2024_06_04";"697";"31321";"2"
"252";"252";"2024_06_04";"318";"88546";"2"
"253";"253";"2024_06_04";"42";"394";"0"
"254";"254";"2024_06_04";"962";"24088";"0"
"255";"255";"2024_06_04";"303";"89314";"2"
"256";"256";"2024_06_04";"478";"49199";"0"
"257";"257";"2024_06_04";"635";"6247";"2"
"258";"258";"2024_06_04";"517";"27835";"2"
"259";"259";"2024_06_04";"306";"35023";"0"
"260";"260";"2024_06_04";"282";"74286";"1"
"261";"261";"2024_06_04";"831";"61154";"0"
"262";"262";"2024_06_04";"698";"17188";"2"
"263";"263";"2024_06_04";"336";"34722";"2"
"264";"264";"2024_06_04";"302";"91160";"1"
"265";"265";"2024_06_04";"94";"71823";"2"
"266";"266";"2024_06_04";"767";"9021";"2"
"267";"267";"2024_06_04";"576";"6002";"2"
"268";"268";"2024_06_04";"807";"32889";"2"
"269";"269";"2024_06_04";"864";"9231";"1"
"270";"270";"2024_06_04";"393";"73127";"2"
"271";"271";"2024_06_04";"24";"89596";"2"
"272";"272";"2024_06_04";"580";"64249";"1"
"273";"273";"2024_06_04";"503";"60303";"2"
"274";"274";"2024_06_04";"642";"52246";"1"
"275";"275";"2024_06_04";"620";"33413";"0"
"276";"276";"2024_06_04";"400";"75639";"0"
"277";"277";"2024_06_04";"146";"54981";"1"
"278";"278";"2024_06_04";"891";"87641";"0"
"279";"279";"2024_06_04";"825";"53414";"2"
"280";"280";"2024_06_04";"925";"39575";"0"
"281";"281";"2024_06_04";"261";"62384";"0"
"282";"282";"2024_06_04";"326";"44419";"0"
"283";"283";"2024_06_04";"789";"68284";"1"
"284";"284";"2024_06_04";"624";"23586";"1"
"285";"285";"2024_06_04";"32";"40483";"0"
"286";"286";"2024_06_04";"965";"91684";"1"
"287";"287";"2024_06_04";"362";"59967";"0"
"288";"288";"2024_06_04";"273";"61470";"1"
"289";"289";"2024_06_04";"290";"77190";"1"
"290";"290";"2024_06_04";"288";"34389";"0"
"291";"291";"2024_06_04";"319";"33327";"1"
"292";"292";"2024_06_04";"837";"38735";"0"
"293";"293";"2024_06_04";"240";"80535";"1"
"294";"294";"2024_06_04";"514";"25461";"2"
"295";"295";"2024_06_04";"283";"10237";"1"
"296";"296";"2024_06_04";"91";"65064";"2"
"297";"297";"2024_06_04";"166";"62597";"0"
"298";"298";"2024_06_04";"866";"4562";"0"
"299";"299";"2024_06_04";"944";"72909";"1"
"300";"300";"2024_06_04";"809";"38312";"1"
"301";"301";"2024_06_04";"563";"97803";"2"
"302";"302";"2024_06_04";"921";"26613";"1"
"303";"303";"2024_06_04";"183";"22380";"1"
"304";"304";"2024_06_04";"314";"7657";"2"
"305";"305";"2024_06_04";"31";"54661";"2"
"306";"306";"2024_06_04";"644";"71954";"2"
"307";"307";"2024_06_04";"634";"14213";"2"
"308";"308";"2024_06_04";"497";"91956";"2"
"309";"309";"2024_06_04";"716";"20497";"1"
"310";"310";"2024_06_04";"732";"16476";"2"
"311";"311";"2024_06_04";"628";"73844";"2"
"312";"312";"2024_06_04";"919";"26860";"0"
"313";"313";"2024_06_04";"959";"56048";"0"
"314";"314";"2024_06_04";"745";"62633";"1"
"315";"315";"2024_06_04";"19";"65527";"2"
"316";"316";"2024_06_04";"25";"85079";"2"
"317";"317";"2024_06_04";"392";"48798";"0"
"318";"318";"2024_06_04";"831";"77005";"1"
"319";"319";"2024_06_04";"805";"1570";"0"
"320";"320";"2024_06_04";"315";"15902";"0"
"321";"321";"2024_06_04";"226";"68247";"1"
"322";"322";"2024_06_04";"6";"99252";"1"
"323";"323";"2024_06_04";"248";"43297";"0"
"324";"324";"2024_06_04";"57";"99795";"2"
"325";"325";"2024_06_04";"863";"56174";"0"
"326";"326";"2024_06_04";"393";"77620";"2"
"327";"327";"2024_06_04";"321";"44511";"0"
"328";"328";"2024_06_04";"481";"4087";"1"
"329";"329";"2024_06_04";"222";"27835";"0"
"330";"330";"2024_06_04";"445";"51358";"2"
"331";"331";"2024_06_04";"417";"64061";"1"
"332";"332";"2024_06_04";"379";"87108";"1"
"333";"333";"2024_06_04";"834";"80731";"1"
"334";"334";"2024_06_04";"242";"26677";"0"
"335";"335";"2024_06_04";"727";"60582";"0"
"336";"336";"2024_06_04";"853";"37465";"1"
"337";"337";"2024_06_04";"677";"47199";"2"
"338";"338";"2024_06_04";"831";"11536";"0"
"339";"339";"2024_06_04";"564";"19893";"1"
"340";"340";"2024_06_04";"177";"7838";"1"
"341";"341";"2024_06_04";"232";"76766";"1"
"342";"342";"2024_06_04";"625";"85120";"0"
"343";"343";"2024_06_04";"645";"16755";"2"
"344";"344";"2024_06_04";"400";"89988";"0"
"345";"345";"2024_06_04";"41";"24518";"2"
"346";"346";"2024_06_04";"443";"33484";"0"
"347";"347";"2024_06_04";"194";"18312";"0"
"348";"348";"2024_06_04";"906";"72203";"2"
"349";"349";"2024_06_04";"894";"88982";"0"
"350";"350";"2024_06_04";"580";"59466";"0"
"351";"351";"2024_06_04";"692";"61496";"0"
"352";"352";"2024_06_04";"120";"90066";"0"
"353";"353";"2024_06_04";"132";"59995";"1"
"354";"354";"2024_06_04";"744";"58680";"1"
"355";"355";"2024_06_04";"437";"37615";"1"
"356";"356";"2024_06_04";"510";"3785";"0"
"357";"357";"2024_06_04";"781";"64923";"1"
"358";"358";"2024_06_04";"607";"7400";"2"
"359";"359";"2024_06_04";"722";"16267";"2"
"360";"360";"2024_06_04";"398";"19205";"1"
"361";"361";"2024_06_04";"887";"58";"2"
"362";"362";"2024_06_04";"33";"53828";"0"
"363";"363";"2024_06_04";"977";"99873";"0"
"364";"364";"2024_06_04";"392";"8780";"1"
"365";"365";"2024_06_04";"762";"47667";"0"
"366";"366";"2024_06_04";"916";"1299";"0"
"367";"367";"2024_06_04";"696";"72403";"0"
"368";"368";"2024_06_04";"446";"82123";"0"
"369";"369";"2024_06_04";"442";"82262";"0"
"370";"370";"2024_06_04";"946";"46866";"2"
"371";"371";"2024_06_04";"900";"69795";"2"
"372";"372";"2024_06_04";"183";"91382";"2"
"373";"373";"2024_06_04";"911";"23093";"2"
"374";"374";"2024_06_04";"334";"1962";"1"
"375";"375";"2024_06_04";"656";"9188";"0"
"376";"376";"2024_06_04";"624";"19003";"2"
"377";"377";"2024_06_04";"749";"15871";"1"
"378";"378";"2024_06_04";"542";"88411";"0"
"379";"379";"2024_06_04";"30";"71843";"1"
"380";"380";"2024_06_04";"406";"92761";"1"
"381";"381";"2024_06_04";"178";"1516";"0"
"382";"382";"2024_06_04";"255";"89756";"1"
"383";"383";"2024_06_04";"723";"74252";"1"
"384";"384";"2024_06_04";"594";"31730";"1"
"385";"385";"2024_06_04";"517";"12489";"1"
"386";"386";"2024_06_04";"588";"48281";"1"
"387";"387";"2024_06_04";"321";"26593";"1"
"388";"388";"2024_06_04";"29";"42315";"0"
"389";"389";"2024_06_04";"62";"96107";"2"
"390";"390";"2024_06_04";"977";"95977";"0"
"391";"391";"2024_06_04";"936";"72276";"2"
"392";"392";"2024_06_04";"170";"97291";"0"
"393";"393";"2024_06_04";"429";"88397";"2"
"394";"394";"2024_06_04";"342";"25504";"2"
"395";"395";"2024_06_04";"730";"99146";"2"
"396";"396";"2024_06_04";"593";"15535";"2"
"397";"397";"2024_06_04";"721";"94";"1"
"398";"398";"2024_06_04";"936";"18249";"2"
"399";"399";"2024_06_04";"49";"65344";"0"
"400";"400";"2024_06_04";"528";"40713";"1"
"401";"401";"2024_06_04";"619";"51929";"2"
"402";"402";"2024_06_04";"976";"7875";"1"
"403";"403";"2024_06_04";"120";"75340";"1"
"404";"404";"2024_06_04";"593";"92997";"1"
"405";"405";"2024_06_04";"560";"92206";"1"
"406";"406";"2024_06_04";"590";"18457";"1"
"407";"407";"2024_06_04";"973";"9912";"1"
"408";"408";"2024_06_04";"255";"14240";"2"
"409";"409";"2024_06_04";"407";"90174";"1"
"410";"410";"2024_06_04";"753";"36474";"2"
"411";"411";"2024_06_04";"562";"88802";"2"
"412";"412";"2024_06_04";"355";"26337";"2"
"413";"413";"2024_06_04";"18";"36597";"1"
"414";"414";"2024_06_04";"334";"60350";"0"
"415";"415";"2024_06_04";"974";"13243";"0"
"416";"416";"2024_06_04";"276";"17488";"0"
"417";"417";"2024_06_04";"698";"26042";"1"
"418";"418";"2024_06_04";"182";"78126";"1"
"419";"419";"2024_06_04";"983";"19971";"1"
"420";"420";"2024_06_04";"981";"11606";"0"
"421";"421";"2024_06_04";"78";"73055";"2"
"422";"422";"2024_06_04";"253";"6179";"1"
"423";"423";"2024_06_04";"21";"34715";"1"
"424";"424";"2024_06_04";"463";"41781";"0"
"425";"425";"2024_06_04";"332";"31345";"0"
"426";"426";"2024_06_04";"984";"99493";"2"
"427";"427";"2024_06_04";"813";"5394";"2"
"428";"428";"2024_06_04";"345";"13792";"2"
"429";"429";"2024_06_04";"644";"50674";"1"
"430";"430";"2024_06_04";"708";"2569";"0"
"431";"431";"2024_06_04";"176";"36360";"1"
"432";"432";"2024_06_04";"501";"25790";"1"
"433";"433";"2024_06_04";"979";"76852";"2"
"434";"434";"2024_06_04";"418";"33762";"2"
"435";"435";"2024_06_04";"167";"69167";"0"
"436";"436";"2024_06_04";"771";"41028";"2"
"437";"437";"2024_06_04";"192";"5426";"2"
"438";"438";"2024_06_04";"629";"95251";"0"
"439";"439";"2024_06_04";"261";"15456";"2"
"440";"440";"2024_06_04";"444";"23867";"2"
"441";"441";"2024_06_04";"319";"95153";"0"
"442";"442";"2024_06_04";"95";"79746";"2"
"443";"443";"2024_06_04";"435";"43927";"1"
"444";"444";"2024_06_04";"117";"85157";"2"
"445";"445";"2024_06_04";"553";"16567";"1"
"446";"446";"2024_06_04";"928";"71425";"1"
"447";"447";"2024_06_04";"677";"17368";"1"
"448";"448";"2024_06_04";"787";"10997";"0"
"449";"449";"2024_06_04";"516";"40459";"1"
"450";"450";"2024_06_04";"650";"67993";"0"
"451";"451";"2024_06_04";"456";"40913";"0"
"452";"452";"2024_06_04";"244";"38494";"2"
"453";"453";"2024_06_04";"916";"23189";"1"
"454";"454";"2024_06_04";"130";"26583";"1"
"455";"455";"2024_06_04";"791";"98475";"1"
"456";"456";"2024_06_04";"946";"44407";"0"
"457";"457";"2024_06_04";"371";"93959";"0"
"458";"458";"2024_06_04";"37";"99075";"1"
"459";"459";"2024_06_04";"815";"9288";"1"
"460";"460";"2024_06_04";"865";"6553";"1"
"461";"461";"2024_06_04";"59";"76700";"2"
"462";"462";"2024_06_04";"893";"69672";"2"
"463";"463";"2024_06_04";"448";"92697";"1"
"464";"464";"2024_06_04";"944";"58000";"1"
"465";"465";"2024_06_04";"855";"57111";"0"
"466";"466";"2024_06_04";"87";"57371";"0"
"467";"467";"2024_06_04";"384";"10275";"2"
"468";"468";"2024_06_04";"134";"1482";"0"
"469";"469";"2024_06_04";"24";"31713";"2"
"470";"470";"2024_06_04";"264";"89753";"2"
"471";"471";"2024_06_04";"966";"41951";"0"
"472";"472";"2024_06_04";"823";"78323";"1"
"473";"473";"2024_06_04";"121";"47666";"2"
"474";"474";"2024_06_04";"74";"29084";"0"
"475";"475";"2024_06_04";"694";"33993";"1"
"476";"476";"2024_06_04";"277";"38697";"2"
"477";"477";"2024_06_04";"474";"35363";"1"
"478";"478";"2024_06_04";"122";"55914";"0"
"479";"479";"2024_06_04";"210";"1893";"0"
"480";"480";"2024_06_04";"463";"95130";"0"
"481";"481";"2024_06_04";"381";"74402";"1"
"482";"482";"2024_06_04";"834";"9721";"2"
"483";"483";"2024_06_04";"260";"2316";"0"
"484";"484";"2024_06_04";"58";"95191";"0"
"485";"485";"2024_06_04";"246";"16801";"2"
"486";"486";"2024_06_04";"633";"40035";"2"
"487";"487";"2024_06_04";"235";"75010";"2"
"488";"488";"2024_06_04";"247";"16461";"0"
"489";"489";"2024_06_04";"22";"97847";"0"
"490";"490";"2024_06_04";"686";"59556";"1"
"491";"491";"2024_06_04";"274";"72163";"2"
"492";"492";"2024_06_04";"292";"71291";"2"
"493";"493";"2024_06_04";"625";"36155";"2"
"494";"494";"2024_06_04";"821";"14328";"2"
"495";"495";"2024_06_04";"854";"43192";"1"
"496";"496";"2024_06_04";"854";"89156";"1"
"497";"497";"2024_06_04";"197";"4271";"0"
"498";"498";"2024_06_04";"142";"15652";"0"
"499";"499";"2024_06_04";"307";"6487";"1"
"500";"500";"2024_06_04";"104";"32459";"0"
"501";"501";"2024_06_04";"449";"28010";"2"
"502";"502";"2024_06_04";"507";"36284";"0"
"503";"503";"2024_06_04";"208";"57554";"0"
"504";"504";"2024_06_04";"366";"49567";"0"
"505";"505";"2024_06_04";"558";"90142";"2"
"506";"506";"2024_06_04";"57";"22840";"1"
"507";"507";"2024_06_04";"689";"70026";"1"
"508";"508";"2024_06_04";"971";"86691";"1"
"509";"509";"2024_06_04";"253";"23589";"2"
"510";"510";"2024_06_04";"657";"40625";"1"
"511";"511";"2024_06_04";"508";"21885";"0"
"512";"512";"2024_06_04";"594";"62586";"2"
"513";"513";"2024_06_04";"170";"48330";"2"
"514";"514";"2024_06_04";"827";"74727";"2"
"515";"515";"2024_06_04";"987";"40810";"2"
"516";"516";"2024_06_04";"189";"52386";"2"
"517";"517";"2024_06_04";"460";"20897";"0"
"518";"518";"2024_06_04";"285";"15310";"1"
"519";"519";"2024_06_04";"324";"55701";"2"
"520";"520";"2024_06_04";"265";"54036";"1"
"521";"521";"2024_06_04";"926";"12936";"1"
"522";"522";"2024_06_04";"583";"21630";"2"
"523";"523";"2024_06_04";"7";"3750";"0"
"524";"524";"2024_06_04";"931";"83698";"0"
"525";"525";"2024_06_04";"632";"8704";"1"
"526";"526";"2024_06_04";"719";"19195";"2"
"527";"527";"2024_06_04";"52";"70682";"1"
"528";"528";"2024_06_04";"764";"48711";"1"
"529";"529";"2024_06_04";"507";"54342";"2"
"530";"530";"2024_06_04";"966";"8153";"0"
"531";"531";"2024_06_04";"859";"67067";"1"
"532";"532";"2024_06_04";"322";"87067";"2"
"533";"533";"2024_06_04";"778";"87498";"2"
"534";"534";"2024_06_04";"76";"89295";"0"
"535";"535";"2024_06_04";"916";"8311";"2"
"536";"536";"2024_06_04";"220";"18300";"1"
"537";"537";"2024_06_04";"19";"36370";"0"
"538";"538";"2024_06_04";"759";"82610";"1"
"539";"539";"2024_06_04";"286";"53023";"0"
"540";"540";"2024_06_04";"475";"77856";"0"
"541";"541";"2024_06_04";"201";"45478";"2"
"542";"542";"2024_06_04";"561";"92744";"0"
"543";"543";"2024_06_04";"499";"77825";"1"
"544";"544";"2024_06_04";"686";"61601";"2"
"545";"545";"2024_06_04";"802";"39131";"2"
"546";"546";"2024_06_04";"135";"65217";"0"
"547";"547";"2024_06_04";"140";"72161";"2"
"548";"548";"2024_06_04";"565";"99285";"1"
"549";"549";"2024_06_04";"950";"17900";"2"
"550";"550";"2024_06_04";"977";"8324";"1"
"551";"551";"2024_06_04";"590";"45148";"2"
"552";"552";"2024_06_04";"222";"32670";"0"
"553";"553";"2024_06_04";"718";"99616";"2"
"554";"554";"2024_06_04";"108";"34186";"2"
"555";"555";"2024_06_04";"965";"25780";"2"
"556";"556";"2024_06_04";"668";"96807";"2"
"557";"557";"2024_06_04";"329";"24833";"1"
